name,country,subcountry,geonameid,city_name,country_name,latitude,longitude,population,has_bike_sharing,climate_zone,region,data_source,city_size
Baraki Barak,Afghanistan,Logar,1147066,Baraki Barak,Afghanistan,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Bāmyān,Afghanistan,Bamyan,1147242,Bāmyān,Afghanistan,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Balkh,Afghanistan,Balkh,1147290,Balkh,Afghanistan,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Baghlān,Afghanistan,Baghlan,1147540,Baghlān,Afghanistan,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Ārt Khwājah,Afghanistan,Takhar,1148106,Ārt Khwājah,Afghanistan,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Āsmār,Afghanistan,Kunar,1148205,Āsmār,Afghanistan,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Asadābād,Afghanistan,Kunar,1148311,Asadābād,Afghanistan,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Andkhōy,Afghanistan,Faryab,1148658,Andkhōy,Afghanistan,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Bāzārak,Afghanistan,Panjshir,1429434,Bāzārak,Afghanistan,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Markaz-e Woluswalī-ye Āchīn,Afghanistan,Nangarhar,1469706,Markaz-e Woluswalī-ye Āchīn,Afghanistan,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Saint John’s,Antigua and Barbuda,Saint John Parish,3576022,Saint John’s,Antigua and Barbuda,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
The Valley,Anguilla,The Valley,3573374,The Valley,Anguilla,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Sarandë,Albania,Vlore County,363243,Sarandë,Albania,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Pogradec,Albania,Korce County,781988,Pogradec,Albania,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Kukës,Albania,Kukes County,782661,Kukës,Albania,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Korçë,Albania,Korce County,782756,Korçë,Albania,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Gjirokastër,Albania,Gjirokaster County,783148,Gjirokastër,Albania,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Elbasan,Albania,Elbasan County,783263,Elbasan,Albania,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Burrel,Albania,Diber County,783493,Burrel,Albania,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Vlorë,Albania,Vlore County,3183719,Vlorë,Albania,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Tirana,Albania,Tirana,3183875,Tirana,Albania,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Shkodër,Albania,Shkoder County,3184081,Shkodër,Albania,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Patos Fshat,Albania,Fier County,3184517,Patos Fshat,Albania,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Patos,Albania,Fier County,3184518,Patos,Albania,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Lushnjë,Albania,Fier County,3184862,Lushnjë,Albania,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Lezhë,Albania,Lezhe County,3184935,Lezhë,Albania,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Laç,Albania,Lezhe County,3185012,Laç,Albania,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Krujë,Albania,Durres County,3185082,Krujë,Albania,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Kavajë,Albania,Tirana,3185211,Kavajë,Albania,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Fier-Çifçi,Albania,Fier County,3185670,Fier-Çifçi,Albania,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Fier,Albania,Fier County,3185672,Fier,Albania,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Durrës,Albania,Durres County,3185728,Durrës,Albania,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Berat,Albania,Berat County,3186084,Berat,Albania,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Kapan,Armenia,Syunik,174875,Kapan,Armenia,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Goris,Armenia,Syunik,174895,Goris,Armenia,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Artashat,Armenia,Ararat,174979,Artashat,Armenia,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Ararat,Armenia,Ararat,174991,Ararat,Armenia,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Yerevan,Armenia,Yerevan,616052,Yerevan,Armenia,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Vagharshapat,Armenia,Armavir,616062,Vagharshapat,Armenia,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Sevan,Armenia,Gegharkunik,616250,Sevan,Armenia,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Masis,Armenia,Ararat,616435,Masis,Armenia,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Vanadzor,Armenia,Lori,616530,Vanadzor,Armenia,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Gavar,Armenia,Gegharkunik,616599,Gavar,Armenia,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Ijevan,Armenia,Tavush,616627,Ijevan,Armenia,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Hrazdan,Armenia,Kotayk,616629,Hrazdan,Armenia,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Armavir,Armenia,Armavir,616631,Armavir,Armenia,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Gyumri,Armenia,Shirak,616635,Gyumri,Armenia,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Dilijan,Armenia,Tavush,616752,Dilijan,Armenia,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Davtashen,Armenia,Yerevan,616758,Davtashen,Armenia,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Charentsavan,Armenia,Kotayk,616785,Charentsavan,Armenia,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Avan,Armenia,Yerevan,616864,Avan,Armenia,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Ashtarak,Armenia,Aragatsotn,616877,Ashtarak,Armenia,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
